# SP1500 fetch failures — generated 2026-05-08T14:56:33
# Format: TICKER  REASON

## Hard failures (no price data — likely delisted / wrong symbol)
(none)

## Limited-history IPOs (valid data, but price starts after the min cutoff — usable for validation + late training, not for early-training features)
OMC         missing: earnings
OMCL        missing: earnings
ON          missing: earnings
ONB         missing: earnings
ONTO        missing: earnings
OPCH        missing: earnings
OPLN        missing: earnings
ORA         missing: earnings
ORCL        missing: earnings
ORI         missing: earnings
ORLY        missing: earnings
OSIS        missing: earnings
OSK         missing: earnings
OSW         missing: earnings
OTIS        missing: earnings
OTTR        missing: earnings
OUT         missing: earnings
OVV         missing: earnings
OXM         missing: earnings
OXY         missing: earnings
OZK         missing: earnings
PAG         missing: earnings
PAHC        missing: earnings
PANW        missing: earnings
PARR        missing: earnings
PATH        missing: earnings
PATK        missing: earnings
PAYC        missing: earnings
PAYO        missing: earnings
PAYX        missing: earnings
PB          missing: earnings
PBF         missing: earnings
PBH         missing: earnings
PBI         missing: earnings
PCAR        missing: earnings
PCG         missing: earnings
PCRX        missing: earnings
PCTY        missing: earnings
PDD         missing: earnings
PDFS        missing: earnings
PEB         missing: earnings
PECO        missing: earnings
PEG         missing: earnings
PEGA        missing: earnings
PEN         missing: earnings
PENG        missing: earnings
PENN        missing: earnings
PEP         missing: earnings
PFBC        missing: earnings
PFE         missing: earnings
PFG         missing: earnings
PFGC        missing: earnings
PFS         missing: earnings
PG          missing: earnings
PGNY        missing: earnings
PGR         missing: earnings
PH          missing: earnings
PHIN        missing: earnings
PHM         missing: earnings
PI          missing: earnings
PII         missing: earnings
PINS        missing: earnings
PIPR        missing: earnings
PJT         missing: earnings
PK          missing: earnings
PKG         missing: earnings
PLAB        missing: earnings
PLD         missing: earnings
PLMR        missing: earnings
PLNT        missing: earnings
PLTR        missing: earnings
PLUS        missing: earnings
PLXS        missing: earnings
PM          missing: earnings
PMT         missing: earnings
PNC         missing: earnings
PNFP        missing: earnings
PNR         missing: earnings
PNW         missing: earnings
PODD        missing: earnings
POOL        missing: earnings
POR         missing: earnings
POST        missing: earnings
POWI        missing: earnings
POWL        missing: earnings
PPC         missing: earnings
PPG         missing: earnings
PPL         missing: earnings
PR          missing: earnings
PRA         missing: earnings
PRAA        missing: earnings
PRDO        missing: earnings
PRG         missing: earnings
PRGO        missing: earnings
PRGS        missing: earnings
PRI         missing: earnings
PRIM        missing: earnings
PRK         missing: earnings
PRKS        missing: earnings
PRLB        missing: earnings
PRSU        missing: earnings
PRU         missing: earnings
PRVA        missing: earnings
PSA         missing: earnings
PSMT        missing: earnings
PSN         missing: earnings
PSTG        missing: earnings
PSX         missing: earnings
PTC         missing: earnings
PTCT        missing: earnings
PTEN        missing: earnings
PTGX        missing: earnings
PVH         missing: earnings
PWR         missing: earnings
PYPL        missing: earnings
PZZA        missing: earnings
QCOM        missing: earnings
QDEL        missing: earnings
QLYS        missing: earnings
QNST        missing: earnings
QRVO        missing: earnings
QTWO        missing: earnings
R           missing: earnings
RAL         missing: earnings
RAMP        missing: earnings
RBA         missing: earnings
RBC         missing: earnings
RCL         missing: earnings
RCUS        missing: earnings
RDN         missing: earnings
RDNT        missing: earnings
REG         missing: earnings
REGN        missing: earnings
RES         missing: earnings
REX         missing: earnings
REXR        missing: earnings
REYN        missing: earnings
REZI        missing: earnings
RF          missing: earnings
RGA         missing: earnings
RGEN        missing: earnings
RGLD        missing: earnings
RH          missing: earnings
RHI         missing: earnings
RHP         missing: earnings
RITM        missing: earnings
RJF         missing: earnings
RL          missing: earnings
RLI         missing: earnings
RMBS        missing: earnings
RMD         missing: earnings
RNG         missing: earnings
RNR         missing: earnings
RNST        missing: earnings
ROCK        missing: earnings
ROG         missing: earnings
ROIV        missing: earnings
ROK         missing: earnings
ROL         missing: earnings
ROP         missing: earnings
ROST        missing: earnings
RPM         missing: earnings
RRC         missing: earnings
RRR         missing: earnings
RRX         missing: earnings
RS          missing: earnings
RSG         missing: earnings
RTX         missing: earnings
RUN         missing: earnings
RUSHA       missing: earnings
RWT         missing: earnings
RXO         missing: earnings
RYAN        missing: earnings
RYN         missing: earnings
SABR        missing: earnings
SAFE        missing: earnings
SAFT        missing: earnings
SAH         missing: earnings
SAIA        missing: earnings
SAIC        missing: earnings
SAM         missing: earnings
SANM        missing: earnings
SARO        missing: earnings
SBAC        missing: earnings
SBCF        missing: earnings
SBH         missing: earnings
SBRA        missing: earnings
SBSI        missing: earnings
SBUX        missing: earnings
SCHL        missing: earnings
SCHW        missing: earnings
SCI         missing: earnings
SCL         missing: earnings
SCSC        missing: earnings
SEDG        missing: earnings
SEE         missing: earnings
SEIC        missing: earnings
SEM         missing: earnings
SEZL        missing: earnings
SF          missing: earnings
SFBS        missing: earnings
SFM         missing: earnings
SFNC        missing: earnings
SGI         missing: earnings
SHAK        missing: earnings
SHC         missing: earnings
SHEN        missing: earnings
SHO         missing: earnings
SHOO        missing: earnings
SHW         missing: earnings
SIG         missing: earnings
SIGI        missing: earnings
SITM        missing: earnings
SJM         missing: earnings
SKT         missing: earnings
SKY         missing: earnings
SKYW        missing: earnings
SLAB        missing: earnings
SLB         missing: earnings
SLG         missing: earnings
SLGN        missing: earnings
SLM         missing: earnings
SLVM        missing: earnings
SM          missing: earnings
SMCI        missing: earnings
SMG         missing: earnings
SMP         missing: earnings
SMPL        missing: earnings
SMTC        missing: earnings
SNA         missing: earnings
SNCY        missing: earnings
SNDR        missing: earnings
SNEX        missing: earnings
SNPS        missing: earnings
SNX         missing: earnings
SO          missing: earnings
SOLS        missing: earnings
SON         missing: earnings
SONO        missing: earnings
SPG         missing: earnings
SPGI        missing: earnings
SPHR        missing: earnings
SPNT        missing: earnings
SPSC        missing: earnings
SPXC        missing: earnings
